Date,Open,High,Low,Close,Volume
2021-02-04,4361.848028367565,4361.848028367565,4291.778180522304,4344.33056640625,29508100
2021-02-05,4379.365514536373,4379.365514536373,4239.225818071209,4274.2607421875,34366600
2021-02-08,4344.3305904200815,4344.3305904200815,4256.743280129354,4274.2607421875,28817400
2021-02-09,4274.260939176502,4344.330790638412,4081.56884765625,4081.56884765625,113795000
2021-02-10,4099.087137513241,4186.6744695113875,4081.569671113612,4134.1220703125,43492200
2021-02-11,4116.604379507212,4169.156775841346,4081.5694486177886,4099.0869140625,37890700
2021-02-15,4274.261530002626,4379.366321724002,4169.15673828125,4169.15673828125,178642200
2021-02-16,4186.674089777822,4204.191554588608,4134.121695345464,4151.63916015625,35796600
2021-02-17,4134.121615705819,4151.639080179149,4029.0168288658406,4064.0517578125,56517500
2021-02-18,4029.016976835426,4116.604302418805,4011.49951171875,4011.49951171875,56765900
2021-02-19,4011.4994937516913,4099.0868189427765,4011.4994937516913,4046.534423828125,42627800
2021-02-22,4081.5695061934625,4099.08697188528,3993.9821777343755,3993.982177734375,55230300
2021-02-23,3993.982046602074,4081.569372185453,3993.982046602074,4011.49951171875,60745000
2021-02-24,4046.5339778645834,4099.0863671875,3923.911736111111,3941.42919921875,73050200
2021-02-25,3993.981602963845,3993.981602963845,3836.3244344257987,3906.394287109375,123672200
2021-02-26,3818.806898328993,3871.359286838108,3748.737046983507,3783.77197265625,146271500
2021-03-01,3853.842250279018,3923.912109375,3818.8073207310267,3923.912109375,118418900
2021-03-02,3958.946676622057,3976.464139792951,3888.876823938481,3906.394287109375,87061500
2021-03-03,3941.4299112059475,3993.982310022027,3871.3600461178416,3976.46484375,49030200
2021-03-04,3976.464139792951,3993.981602963845,3871.3593607675866,3906.394287109375,70766800
2021-03-05,3871.3595048384236,3906.39443248402,3836.324577192827,3853.842041015625,48034400
2021-03-08,3888.876953125,3941.429344383446,3836.324561866554,3888.876953125,55652900
2021-03-09,3888.876838235294,3958.9466911764707,3783.7720588235293,3871.359375,66908800
2021-03-10,3853.8421884000577,3871.3596528927856,3783.7723304291476,3801.289794921875,66154200
2021-03-12,3888.8766053082195,3906.3940674942924,3818.806756563927,3836.32421875,87065000
2021-03-15,3871.359375,3941.4292279411766,3853.841911764706,3871.359375,48489500
2021-03-16,3923.9118806306305,4011.4991993947074,3888.876953125,3888.876953125,64804400
2021-03-17,3941.429213451163,3958.946676622057,3888.876823938481,3906.394287109375,61881600
2021-03-18,3976.464581485399,4064.0519070687774,3941.4296512520473,4011.49951171875,90338700
2021-03-19,4011.4994937516913,4046.534423828125,3941.4296335988233,4046.534423828125,80429800
2021-03-22,4029.016529305633,4046.533992476527,3888.876823938481,3906.394287109375,57320300
2021-03-23,3888.876823938481,3976.464139792951,3888.876823938481,3906.394287109375,46973100
2021-03-24,3906.394198636396,3923.9116614105506,3818.806884765625,3818.806884765625,40065300
2021-03-25,3818.806884765625,3871.359273088088,3783.7719592173166,3818.806884765625,49497900
2021-03-26,3871.3597150530136,3923.912109375,3836.3247855050226,3923.912109375,24880300
2021-03-29,3923.9117647058824,3958.9466911764707,3871.359375,3871.359375,25164100
2021-03-30,3836.3243611653647,3888.876749674479,3783.77197265625,3783.77197265625,55842300
2021-03-31,3818.806555002222,3818.806555002222,3661.149403648919,3696.184326171875,89835200
2021-04-01,3748.7370605468745,3783.771986346378,3731.219597647123,3748.737060546875,33323600
2021-04-05,3801.28944924613,3818.8069121458816,3748.7370605468745,3748.737060546875,29142200
2021-04-06,3766.2545234466265,3783.771986346378,3713.7021347473715,3748.737060546875,26040800
2021-04-07,3713.7020200630873,3748.736944780663,3696.184557704299,3731.219482421875,33361900
2021-04-08,3766.254289735038,3766.254289735038,3713.701904296875,3713.701904296875,43680100
2021-04-09,3713.7017874333533,3783.7716324792655,3696.1843261718755,3696.184326171875,59348800
2021-04-12,3678.666908001078,3696.1843694677495,3538.5272162677034,3556.044677734375,68211200
2021-04-13,3521.0097548010317,3626.1145236010625,3521.0097548010317,3556.044677734375,53505400
2021-04-14,3608.5969052269343,3696.1842087518603,3573.561983816964,3678.666748046875,39277800
2021-04-15,3678.666748046875,3696.1842087518603,3626.1143659319196,3678.666748046875,34533700
2021-04-16,3713.701669456845,3731.2191301618304,3643.631826636905,3678.666748046875,38151200
2021-04-19,3661.1502779447114,3678.6677433894233,3643.6328125,3643.6328125,30832600
2021-04-20,3608.5971334205483,3713.701904296875,3608.5971334205483,3713.701904296875,46601200
2021-04-21,3661.1494140625,3696.1843366851076,3643.6319527511964,3661.1494140625,47261000
2021-04-22,3661.149719798237,3853.841810313934,3661.149719798237,3818.806884765625,86785100
2021-04-23,3853.841883680556,3958.946662326389,3836.3244205729166,3941.42919921875,95175600
2021-04-26,3941.42919921875,3976.4641254340277,3923.911736111111,3941.42919921875,65428000
2021-04-27,3941.4292279411766,3958.9466911764707,3836.3244485294117,3871.359375,41552600
2021-04-28,3783.771986346378,3906.3942266446406,3731.219597647123,3748.737060546875,72011700
2021-04-29,3748.7374014436928,3836.3247239073303,3748.7374014436928,3801.289794921875,43203100
2021-04-30,3818.8071133700287,3888.876968661222,3766.2547219016337,3853.842041015625,56668600
2021-05-03,3880.184509558612,3915.782532582085,3844.586486535138,3862.385498046875,29451000
2021-05-04,3915.782470703125,3969.1795043945312,3862.3854370117188,3915.782470703125,39860400
2021-05-05,3933.581298828125,3986.978330033937,3897.983278024251,3933.581298828125,27270000
2021-05-06,3986.978578629032,3986.978578629032,3844.586486535138,3862.385498046875,34361400
2021-05-07,3880.1847605817193,3897.983773244938,3755.591671939187,3791.189697265625,30771700
2021-05-10,3808.9888285792154,3862.3858682321948,3808.9888285792154,3826.787841796875,25429700
2021-05-11,3844.5862365430626,3862.3852468974283,3684.395143353768,3719.9931640625,49162600
2021-05-17,3773.390318349939,3791.1893292855525,3648.797241800649,3684.395263671875,47623100
2021-05-18,3666.596435546875,3702.194459192961,3630.9984119007886,3666.596435546875,45784300
2021-05-19,3630.9981677366955,3648.797178362856,3577.6011358582145,3595.400146484375,47008800
2021-05-20,3595.4002089938103,3702.194274607488,3577.601198058197,3684.395263671875,49746900
2021-05-21,3684.3951996151764,3719.993220867497,3595.400146484375,3595.400146484375,43416900
2021-05-24,3630.99853515625,3666.596560010723,3577.60149787454,3630.99853515625,33540000
2021-05-25,3630.9979843365145,3666.5960037907944,3595.399964882235,3613.198974609375,45393500
2021-05-27,3630.9984119007886,3719.993471016004,3613.1994000777454,3666.596435546875,99709500
2021-05-28,3684.3954473699177,3719.993471016004,3648.797423723832,3666.596435546875,24346700
2021-05-31,3684.3949637276783,3773.390011160714,3666.5959542410715,3737.7919921875,41498000
2021-06-02,3808.988709928844,3808.988709928844,3755.591671939187,3791.189697265625,43217400
2021-06-03,3808.988525390625,3808.988525390625,3755.5914899879526,3808.988525390625,49012700
2021-06-04,3791.189205479964,3808.9882158343303,3702.1941537081343,3719.9931640625,35211100
2021-06-07,3719.9929827008928,3773.390011160714,3702.1939732142855,3737.7919921875,31693200
2021-06-08,3773.3900742372634,3791.1890840214014,3702.194035100711,3755.591064453125,35402300
2021-06-09,3755.591671939187,3808.988709928844,3719.993646612749,3791.189697265625,24331300
2021-06-10,3844.586181640625,3862.385191740813,3791.1891513400606,3844.586181640625,42924200
2021-06-11,3844.5861133738154,3862.3851231579533,3737.792054668987,3755.591064453125,44421700
2021-06-14,3808.9883402211653,3808.9883402211653,3666.5962527362617,3684.395263671875,40699500
2021-06-15,3684.3954473699177,3702.194459192961,3648.797423723832,3666.596435546875,35915800
2021-06-16,3702.194459192961,3702.194459192961,3648.797423723832,3666.596435546875,29144900
2021-06-17,3648.7975475834864,3666.596560010723,3613.199522729013,3630.99853515625,38074600
2021-06-18,3613.1987841796877,3648.796801757813,3488.6057226562502,3559.8017578125,112157600
2021-06-21,3502.845703125,3538.443728563262,3388.932021722561,3502.845703125,48183300
2021-06-22,3502.845703125,3577.6015565453504,3488.6064929496947,3502.845703125,47156200
2021-06-23,3545.5631110943837,3577.6013319777667,3502.845483249873,3509.965087890625,46351900
2021-06-24,3509.964624814176,3545.5626433214193,3495.725417411279,3517.084228515625,24665200
2021-06-25,3517.084913300305,3545.5633336509145,3495.726098037347,3502.845703125,33125300
2021-06-28,3502.845690684713,3509.9652957470807,3353.333984375,3353.333984375,53083400
2021-06-29,3367.5730202414775,3502.845509426653,3353.333810853564,3445.888671875,70425700
2021-06-30,3438.76858779969,3559.801850724317,3431.6489840982413,3517.084228515625,34641700
2021-07-01,3552.682217331312,3630.9978573927237,3524.203802763526,3577.600830078125,42856900
2021-07-02,3577.6007666015626,3613.1987841796877,3545.56255078125,3559.8017578125,22436900
2021-07-05,3595.39986923156,3613.1988784851815,3502.845021112728,3517.084228515625,27554100
2021-07-06,3538.4431849888397,3538.4431849888397,3481.486353037309,3488.60595703125,31280100
2021-07-07,3488.60595703125,3552.682392976722,3460.127541055485,3488.60595703125,35907800
2021-07-08,3509.9652119620905,3531.3240266393445,3453.008372822746,3474.3671875,40566600
2021-07-09,3474.367016452393,3502.8454346200356,3467.2474119104822,3495.725830078125,21088500
2021-07-12,3495.726098037347,3524.2045183879573,3474.36728277439,3502.845703125,26816600
2021-07-13,3524.203977000957,3531.3235809948983,3453.0079370615435,3488.60595703125,28998600
2021-07-14,3502.84523239297,3502.84523239297,3367.5727539062495,3367.57275390625,43408700
2021-07-15,3367.572708732621,3445.8883531217516,3303.496272414241,3424.529541015625,50750700
2021-07-16,3445.888767930328,3495.7260021772545,3431.649558145492,3474.3671875,32544000
2021-07-19,3453.0081291677566,3467.2473379478297,3403.1708984375,3403.1708984375,25106100
2021-07-21,3403.171115005775,3509.9651876524,3403.171115005775,3467.24755859375,41716000
2021-07-22,3509.9652079999687,3577.6014544015907,3488.606393346825,3545.563232421875,36287300
2021-07-23,3559.802369397096,3559.802369397096,3495.725926747948,3524.204345703125,26847700
2021-07-26,3524.2036409198113,3538.4428475497903,3396.05078125,3396.05078125,43373400
2021-07-27,3396.051489565553,3438.7691183651195,3367.5730703658414,3388.931884765625,42635500
2021-07-28,3403.171219811571,3410.290824873938,3353.333984375,3353.333984375,24083000
2021-07-29,3360.4529485887097,3374.6921559979837,3310.61572265625,3310.61572265625,50238500
2021-07-30,3353.33352092161,3445.888373940678,3324.855104608051,3360.453125,65379500
2021-08-02,3367.5727331391013,3431.649169921875,3367.5727331391013,3431.649169921875,39192600
2021-08-03,3445.8881915011384,3538.443039619971,3438.76858779969,3517.084228515625,46414100
