Date,Open,High,Low,Close,Volume
2021-02-04,2991.7401932573425,3079.139276806746,2937.9560585102895,3018.632080078125,162519997
2021-02-05,3052.2475348486787,3052.2475348486787,2971.571148346373,3005.186279296875,99005120
2021-02-08,3045.5238930819237,3045.5238930819237,2991.7397660156266,2998.462646484375,120218986
2021-02-09,3025.354988389408,3206.876208249569,3025.354988389408,3106.031005859375,464366860
2021-02-10,3112.7538289223025,3166.53795681515,3092.585006653386,3126.199951171875,202155881
2021-02-11,3159.815392162989,3166.5384543441082,3112.754318000655,3146.36962890625,99681961
2021-02-15,3166.538330078125,3213.5994023936187,3159.815268160842,3166.538330078125,93158189
2021-02-16,3186.707309502844,3186.707309502844,3132.923178752385,3139.646240234375,71623667
2021-02-17,3166.538035478965,3179.984158062569,3106.030844958198,3112.75390625,101529553
2021-02-18,3159.8150635748834,3206.876132843353,3126.200117270395,3139.646240234375,152089286
2021-02-19,3092.585180394146,3220.322265625,3092.585180394146,3220.322265625,109884637
2021-02-22,3260.660273534456,3274.1063965394287,3200.1530811175408,3220.322265625,157619632
2021-02-23,3233.768388629973,3247.214150529483,3186.7073192180305,3220.322265625,107810772
2021-02-24,3220.322384397206,3240.491569648547,3166.538251499106,3179.984375,105582023
2021-02-25,3206.876260896312,3206.876260896312,3139.646365602794,3179.984375,131635423
2021-02-26,3179.9844539126902,3193.4305777472555,3159.815268160842,3166.538330078125,161796404
2021-03-01,3227.0460160423304,3247.21484375,3173.2618736459785,3247.21484375,127020403
2021-03-02,3274.1059853770116,3280.8290460352155,3227.044921875,3227.044921875,75195758
2021-03-03,3227.045452675864,3260.660400390625,3186.707443197056,3260.660400390625,85026738
2021-03-04,3260.6602684952795,3260.6602684952795,3179.984252801048,3200.153076171875,117897176
2021-03-05,3186.7071542048798,3206.8759765625,3159.8149095874605,3206.8759765625,71188389
2021-03-08,3227.045446147653,3240.491569648547,3179.984375,3179.984375,69917647
2021-03-09,3193.4302340994727,3193.4302340994727,3065.6927936280085,3079.138916015625,165527119
2021-03-10,3126.2000288336044,3132.9230901254064,3085.8620221882434,3112.75390625,77405916
2021-03-12,3153.0918669366233,3153.0918669366233,3052.247032345838,3079.138916015625,152360111
2021-03-15,3079.139077170678,3112.7540237936023,3065.6929540793226,3072.416015625,95483079
2021-03-16,3132.923222123841,3206.8761772385965,3099.3082753539943,3173.26123046875,151028868
2021-03-17,3146.369301716365,3159.8150635748834,3092.585170965906,3139.646240234375,116245827
2021-03-18,3166.538129816856,3206.8761376639713,3153.092006832663,3200.153076171875,95635541
2021-03-19,3193.430370984834,3193.430370984834,3139.646240234375,3139.646240234375,166398004
2021-03-22,3159.814974187163,3159.814974187163,3106.030844958198,3112.75390625,67100278
2021-03-23,3173.261186538864,3173.261186538864,3126.200117270395,3139.646240234375,115036356
2021-03-24,3179.984248020854,3179.984248020854,3126.200117270395,3139.646240234375,120514341
2021-03-25,3159.81513787451,3159.81513787451,3079.1391204045426,3106.031005859375,95145043
2021-03-26,3112.754037398653,3173.26123046875,3106.030975823591,3173.26123046875,106978057
2021-03-29,3213.5992388136588,3213.5992388136588,3173.26123046875,3173.26123046875,106807554
2021-03-30,3159.8151296018227,3159.8151296018227,3011.9090377765365,3025.35498046875,214898061
2021-03-31,2991.7398817139747,3011.908885005644,2864.0026201297665,2958.124755859375,323139711
2021-04-01,2924.5098851019156,2937.9560088377148,2830.3877411622852,2884.171875,340183845
2021-04-05,2904.3410643867624,2911.0641266813686,2796.772970436828,2823.6650390625,345533898
2021-04-06,2871.1070929593343,2912.4181127585657,2857.336876297657,2891.7626953125,167319270
2021-04-07,2912.4181127585657,2919.303128635854,2864.222077082046,2891.7626953125,116953800
2021-04-08,2926.1885800429136,3001.9252404365934,2912.4183622018427,2995.0400390625,158572578
2021-04-09,3015.6956431847802,3029.465861025851,2995.0400390625,2995.0400390625,125277643
2021-04-12,3022.5803944003133,3022.5803944003133,2891.7626892153535,2898.647705078125,115119078
2021-04-13,2898.6478031688775,2933.073623276111,2836.6815488643842,2864.22216796875,120186645
2021-04-14,2946.843999258078,2995.0400390625,2905.5331608277493,2995.0400390625,113531640
2021-04-15,3022.5804283835596,3036.350830078125,2946.8437737847557,3036.350830078125,86272180
2021-04-16,3063.891439531883,3070.7764554517757,2967.4993675823684,2988.15478515625,74495706
2021-04-19,3001.9249112618004,3015.6953125,2967.4992779804934,3015.6953125,62185614
2021-04-20,2953.72910939591,2981.26972913448,2905.5330710801913,2967.49951171875,98216076
2021-04-21,2919.3032290046276,2953.729049203067,2912.418212890625,2912.418212890625,51954007
2021-04-22,2912.4181127585657,2933.0735302046314,2891.7626953125,2891.7626953125,118813822
2021-04-23,2891.7628407236775,2946.8438950472155,2884.8776395930695,2926.1884765625,120513461
2021-04-26,2919.303362945632,2926.1885642826423,2843.56688786698,2850.451904296875,157367288
2021-04-27,2891.762780697438,2891.762780697438,2857.3369606661054,2871.107177734375,146082083
2021-04-28,2871.107083624436,2905.5329025273495,2843.566650390625,2843.566650390625,126586116
2021-04-29,2884.8775860702476,2891.7627870731158,2850.451765963014,2864.22216796875,124711354
2021-04-30,2857.336802916875,2864.2220035244413,2788.4853515625,2788.4853515625,257497837
2021-05-03,2795.3703962891404,2802.2554116056754,2754.059379854505,2760.944580078125,124235705
2021-05-04,2767.8297456851733,2802.255376558551,2760.944545547665,2795.370361328125,84287635
2021-05-05,2829.7960947733145,2843.566495547468,2809.1406785191734,2816.02587890625,117321536
2021-05-06,2843.567279570906,2843.567279570906,2802.256250765329,2829.796875,86226199
2021-05-07,2850.451602309309,2850.451602309309,2781.6001509549337,2788.4853515625,83358229
2021-05-10,2788.4853515625,2816.025969085669,2788.4853515625,2788.4853515625,81377755
2021-05-11,2774.715426941132,2781.600628731322,2740.2897878044373,2747.1748046875,167031505
2021-05-17,2726.519336294429,2754.059958063923,2685.20849609375,2685.20849609375,214824800
2021-05-18,2726.519336294429,2726.519336294429,2678.3232944245956,2685.20849609375,127276708
2021-05-19,2650.7825756810807,2712.749018622295,2650.7825756810807,2664.552978515625,135307947
2021-05-20,2643.897369495071,2705.8636230836464,2630.1269676484294,2671.43798828125,164832677
2021-05-21,2698.9784158615284,2719.6340185832855,2657.6675802322216,2678.322998046875,121124632
2021-05-24,2733.404304051436,2795.3707439567766,2692.093467385948,2781.600341796875,147190132
2021-05-25,2802.255376558551,2850.451407706945,2781.5999610531076,2795.370361328125,168676803
2021-05-27,2850.4519975856165,2884.8778204902305,2719.63427734375,2719.63427734375,622692705
2021-05-28,2781.6001979696534,2871.10706775248,2767.8299814288716,2802.255615234375,274099434
2021-05-31,2843.566380408097,2946.843457496992,2829.795980191523,2933.0732421875,326538660
2021-06-02,2995.0394884408365,3015.6950887656976,2912.4178267697207,2933.0732421875,312257333
2021-06-03,2939.959034238879,3001.92529296875,2905.5332116730933,3001.92529296875,173444725
2021-06-04,3015.6954035571257,3022.5804194770185,2953.7289659283797,2988.15478515625,138144236
2021-06-07,2988.154916923756,2995.0399331472545,2898.6478569471765,2926.1884765625,152755788
2021-06-08,2946.8437468663087,2946.8437468663087,2884.8774945281116,2891.7626953125,108888570
2021-06-09,2822.910865757996,2939.958531522919,2822.910865757996,2905.53271484375,107433795
2021-06-10,2946.843855734987,2974.3844749829063,2933.0736385645805,2960.6142578125,106984877
2021-06-11,2995.039785727772,2995.039785727772,2946.84375,2946.84375,57809408
2021-06-14,2981.269821221429,2995.0400390625,2946.843999258078,2995.0400390625,133363443
2021-06-15,2995.039885515509,2995.039885515509,2898.6478108484066,2912.418212890625,200713646
2021-06-16,2857.336643580466,2871.1068591206213,2760.944580078125,2760.944580078125,481002668
2021-06-17,2740.2894529604987,2802.255706778989,2705.863633123268,2774.715087890625,336253477
2021-06-18,2795.371037412803,2795.371037412803,2692.09375,2692.09375,325605954
2021-06-21,2671.437944252021,2733.404196819302,2657.6675426323363,2712.748779296875,159544775
2021-06-22,2712.7488857186922,2802.255760129619,2698.9784835587907,2781.600341796875,132832794
2021-06-23,2788.4854334838406,2802.255650196425,2712.748779296875,2712.748779296875,178751767
2021-06-24,2754.06000647769,2760.9452082678795,2726.5193842240574,2747.1748046875,55421157
2021-06-25,2774.715426941132,2781.600628731322,2747.1748046875,2747.1748046875,83150216
2021-06-28,2740.2893438572087,2747.1743596248475,2705.863525390625,2705.863525390625,155357663
2021-06-29,2657.667874324256,2692.0936977629044,2657.667874324256,2685.20849609375,133952393
2021-06-30,2685.2081609646057,2733.404196819302,2678.322960154763,2712.748779296875,124133954
2021-07-01,2712.748779296875,2733.404196819302,2692.093361774448,2712.748779296875,105240907
2021-07-02,2754.06000647769,2774.715426941132,2733.4045860142473,2747.1748046875,93832940
2021-07-05,2705.8639161940896,2726.519336294429,2671.438277662565,2685.20849609375,93466744
2021-07-06,2719.6340185832855,2719.6340185832855,2678.322998046875,2678.322998046875,60849751
2021-07-07,2698.978407256702,2712.748809027304,2623.241752239699,2630.126953125,163599005
2021-07-08,2678.323196443052,2685.208397860324,2630.127156336382,2664.552978515625,162349164
2021-07-09,2657.6677722071186,2664.5529736117187,2602.5865307845493,2616.35693359375,140611578
2021-07-12,2616.3567812166893,2630.126998316793,2581.9309611057697,2588.816162109375,131702194
2021-07-13,2616.356582602489,2616.356582602489,2588.8159655858526,2602.586181640625,175683484
2021-07-14,2602.5866675506745,2616.357071083511,2547.5056081407083,2554.390625,115704508
2021-07-15,2581.930624260228,2643.897055394156,2568.1604089566226,2623.241455078125,139855425
2021-07-16,2650.7819876390527,2657.667187528931,2623.241372986614,2643.89697265625,108336691
2021-07-19,2650.7822151929663,2650.7822151929663,2602.586181640625,2602.586181640625,69326497
2021-07-21,2650.7823708738006,2671.437973529704,2623.241752239699,2630.126953125,111008747
2021-07-22,2664.5530759934104,2692.0936977629044,2643.897655893071,2685.20849609375,93842180
2021-07-23,2712.749018622295,2719.634220039567,2637.012357753654,2664.552978515625,95960267
2021-07-26,2685.208244383203,2685.208244383203,2630.127006007512,2637.01220703125,90198037
2021-07-27,2657.6677722071186,2657.6677722071186,2595.701514287066,2616.35693359375,99741692
2021-07-28,2616.356679875462,2623.2416957052783,2561.2754437943345,2568.16064453125,77777283
2021-07-29,2588.816214871694,2643.8974542089254,2581.931013727762,2595.701416015625,102817895
2021-07-30,2637.012491475639,2637.012491475639,2554.390625,2554.390625,113633172
2021-08-02,2595.7015025579653,2595.7015025579653,2547.5054627577783,2575.0458984375,105807637
2021-08-03,2575.0457073405946,2602.586325883614,2561.2754905226366,2581.930908203125,87862477
